codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao
252,34650,PTRMP,3175,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2,2073,7,1982,BRASIL,TPX,"TÁXI AÉREO",****,****,"CORRIDA APÓS POUSO","TÁXI AÉREO",NENHUM,NULL,2016-07-30
252,27410,PTRMP,3175,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2,2073,7,1982,BRASIL,TPX,"TÁXI AÉREO",****,****,INDETERMINADA,"TÁXI AÉREO",***,NULL,2016-07-30
256,49451,PPKBP,161,AVIÃO,XAVANTE,A-122-B,PISTÃO,1,840,2,1978,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
256,46448,PPKBP,161,AVIÃO,XAVANTE,A-122-B,PISTÃO,1,840,2,1978,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,NENHUM,NULL,2016-07-30
267,53433,PTIKF,3992,AVIÃO,"PIPER AIRCRAFT",PA-28R-200,PISTÃO,1,1179,4,1973,BRASIL,TPP,PARTICULAR,SSXO,SSXO,"APROXIMAÇÃO FINAL",PRIVADA,SUBSTANCIAL,NULL,2016-07-30
268,37535,PPFGK,212,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1988,BRASIL,PRI,INSTRUÇÃO,****,****,"ARREMETIDA NO SOLO",INSTRUÇÃO,LEVE,NULL,2016-07-30
275,51052,PTCVP,1732,AVIÃO,"PIPER AIRCRAFT",PA-30,PISTÃO,2,1633,6,1966,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
287,26559,PPVNY,5106,AVIÃO,"BOEING COMPANY",737-3K9,JATO,2,61234,142,1990,BRASIL,TPR,REGULAR,****,****,INDETERMINADA,REGULAR,***,NULL,2016-07-30
294,43628,PTEHG,49,AVIÃO,EMBRAER,"EMB-820C NAVAJO",PISTÃO,2,3175,10,1976,BRASIL,TPX,"TÁXI AÉREO",SBSV,SDLO,POUSO,"TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
294,35495,PTEHG,49,AVIÃO,EMBRAER,"EMB-820C NAVAJO",PISTÃO,2,3175,10,1976,BRASIL,TPX,"TÁXI AÉREO",****,****,POUSO,"TÁXI AÉREO",NENHUM,NULL,2016-07-30
301,53325,PPGKX,231,AVIÃO,"PIPER AIRCRAFT",PA-18,PISTÃO,1,680,2,1951,BRASIL,PRI,INSTRUÇÃO,SSNH,SSNH,POUSO,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
337,45089,PTLJJ,3992,AVIÃO,"CESSNA AIRCRAFT",550,JATO,2,6033,10,1981,BRASIL,TPP,PARTICULAR,SBBH,SNJM,POUSO,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
350,30658,PTLLR,2309,AVIÃO,"BEECH AIRCRAFT",C90,TURBOÉLICE,2,4377,10,1981,BRASIL,TPX,"TÁXI AÉREO",****,****,DESCIDA,"TÁXI AÉREO",NENHUM,NULL,2016-07-30
352,31129,PTKAA,1289,AVIÃO,"PIPER AIRCRAFT",PA-28-140,PISTÃO,1,975,4,1974,BRASIL,PRI,INSTRUÇÃO,SBSV,SNVR,DECOLAGEM,INSTRUÇÃO,DESTRUÍDA,2,2016-07-30
442,44553,PTRAT,5193,AVIÃO,EMBRAER,"EMB-820C NAVAJO",PISTÃO,2,3175,10,1980,BRASIL,TPX,"TÁXI AÉREO",****,****,CRUZEIRO,"TÁXI AÉREO",NENHUM,NULL,2016-07-30
445,43725,PTPKD,161,PLANADOR,"INDÚSTRIA PARANAENSE DE ESTRUTURAS",KW1,"SEM TRAÇÃO",0,280,1,1983,BRASIL,PRI,INSTRUÇÃO,SWFR,SWFR,"CORRIDA APÓS POUSO",INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
483,26679,PPFHU,176,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1989,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
505,29620,PTAOT,3992,AVIÃO,"CESSNA AIRCRAFT",182M,PISTÃO,1,1271,4,1969,BRASIL,TPP,PARTICULAR,SWCW,SWFR,INDETERMINADA,PRIVADA,LEVE,NULL,2016-07-30
524,45830,PPFLS,315,AVIÃO,"AERO BOERO",AB-180,PISTÃO,1,844,3,1990,BRASIL,PRI,INSTRUÇÃO,****,****,"CORRIDA APÓS POUSO",INSTRUÇÃO,LEVE,NULL,2016-07-30
534,45891,PTVLU,3992,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-810D,PISTÃO,2,2155,6,1990,BRASIL,TPP,PARTICULAR,****,****,POUSO,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
540,32377,PTOCV,4365,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2,5670,21,1981,BRASIL,TPR,REGULAR,SBEG,SWCA,"CORRIDA APÓS POUSO",REGULAR,DESTRUÍDA,NULL,2016-07-30
559,34339,PPHRS,321,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",56-C-1,PISTÃO,1,630,2,1969,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
566,40855,PTEUJ,3175,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2,2073,7,1979,BRASIL,TPX,"TÁXI AÉREO",SWFN,SWMW,SUBIDA,"TÁXI AÉREO",DESTRUÍDA,6,2016-07-30
576,47142,PTVAQ,2176,AVIÃO,EMBRAER,"EMB-820C CARAJA",TURBOÉLICE,2,3629,10,1986,BRASIL,TPX,"TÁXI AÉREO",SBBE,SBMD,"CIRCUITO DE TRÁFEGO","TÁXI AÉREO",SUBSTANCIAL,10,2016-07-30
588,34935,PTSEA,3440,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2,5670,21,1981,BRASIL,TPX,"TÁXI AÉREO",SWKO,SBEG,CRUZEIRO,"TÁXI AÉREO",DESTRUÍDA,24,2016-07-30
598,52277,PTDLA,3992,AVIÃO,"CESSNA AIRCRAFT",177B,PISTÃO,1,1134,4,1970,BRASIL,TPP,PARTICULAR,SBBI,SSOK,DECOLAGEM,PRIVADA,DESTRUÍDA,3,2016-07-30
601,52288,PPHGB,160,AVIÃO,"CIA AERONAUTICA PAULISTA",CAP-4,PISTÃO,1,587,2,1947,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,LEVE,NULL,2016-07-30
601,53117,PPHGB,160,AVIÃO,"CIA AERONAUTICA PAULISTA",CAP-4,PISTÃO,1,587,2,1947,BRASIL,PRI,INSTRUÇÃO,SBBP,SBBP,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
635,48438,PTLPZ,3992,AVIÃO,"CESSNA AIRCRAFT",500,JATO,2,4921,7,1972,BRASIL,TPP,PARTICULAR,SDCO,SBMT,POUSO,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
664,28093,PTDQL,3992,AVIÃO,"CESSNA AIRCRAFT",172L,PISTÃO,1,1043,4,1971,BRASIL,TPP,PARTICULAR,****,****,INDETERMINADA,PRIVADA,DESTRUÍDA,2,2016-07-30
673,51441,PTJRS,3992,AVIÃO,"CESSNA AIRCRAFT",402B,PISTÃO,2,2858,7,1974,BRASIL,TPP,PARTICULAR,SBCA,SNPJ,POUSO,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
787,50251,PPGBR,299,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1991,BRASIL,PRI,INSTRUÇÃO,SBCY,SWLV,"CORRIDA APÓS POUSO",INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
807,34495,PTNIQ,3992,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-711C,PISTÃO,1,1202,4,1976,BRASIL,TPP,PARTICULAR,SSFE,SDFN,SUBIDA,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
821,42251,PTRSO,4686,AVIÃO,EMBRAER,EMB-810D,PISTÃO,2,2155,7,1982,BRASIL,TPX,"TÁXI AÉREO",****,****,DECOLAGEM,"TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
825,27935,PTISF,3992,AVIÃO,"PIPER AIRCRAFT",PA-34-200,PISTÃO,2,1814,6,1972,BRASIL,TPP,PARTICULAR,****,****,INDETERMINADA,PRIVADA,DESTRUÍDA,3,2016-07-30
830,52288,PPGYB,160,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",56-B,PISTÃO,1,660,2,1963,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,NENHUM,NULL,2016-07-30
830,52675,PPGYB,160,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",56-B,PISTÃO,1,660,2,1963,BRASIL,PRI,INSTRUÇÃO,SBBP,SBBP,TÁXI,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
839,31858,PPGCN,238,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1991,BRASIL,PRI,INSTRUÇÃO,SBPK,SBPK,"CORRIDA APÓS POUSO",INSTRUÇÃO,LEVE,NULL,2016-07-30
889,38335,PTNKH,283,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-711C,PISTÃO,1,1202,4,1977,BRASIL,PRI,INSTRUÇÃO,SBMT,SDTB,POUSO,INSTRUÇÃO,LEVE,NULL,2016-07-30
895,38280,PTLSO,3259,AVIÃO,"BEECH AIRCRAFT",C90,TURBOÉLICE,2,4377,10,1978,BRASIL,TPX,"TÁXI AÉREO",****,****,SUBIDA,"TÁXI AÉREO",LEVE,NULL,2016-07-30
898,44336,PPGCT,158,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1991,BRASIL,PRI,INSTRUÇÃO,SSBL,SSBL,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
902,50713,PTKYP,165,AVIÃO,"CIA AERONAUTICA PAULISTA",CAP-4,PISTÃO,1,587,2,1940,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
902,34915,PTKYP,165,AVIÃO,"CIA AERONAUTICA PAULISTA",CAP-4,PISTÃO,1,587,2,1940,BRASIL,PRI,INSTRUÇÃO,****,****,"CORRIDA APÓS POUSO",INSTRUÇÃO,LEVE,NULL,2016-07-30
996,40213,PTDSO,3992,AVIÃO,"CESSNA AIRCRAFT",210K,PISTÃO,1,1724,6,1970,BRASIL,TPP,PARTICULAR,****,****,POUSO,PRIVADA,LEVE,NULL,2016-07-30
996,44512,PTDSO,3992,AVIÃO,"CESSNA AIRCRAFT",210K,PISTÃO,1,1724,6,1970,BRASIL,TPP,PARTICULAR,****,****,POUSO,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1012,53563,PTEJF,3992,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2,2073,6,1977,BRASIL,TPP,PARTICULAR,SBFZ,SNOG,DESCIDA,PRIVADA,NENHUM,NULL,2016-07-30
1059,49751,PPGJZ,299,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1059,40652,PPGJZ,299,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,****,****,"CORRIDA APÓS POUSO",INSTRUÇÃO,NENHUM,NULL,2016-07-30
1059,31875,PPGJZ,299,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,***,NULL,2016-07-30
1146,27162,PPGLK,223,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1992,BRASIL,PRI,INSTRUÇÃO,****,****,INDETERMINADA,INSTRUÇÃO,***,NULL,2016-07-30
1163,51776,PTION,3992,AVIÃO,"CESSNA AIRCRAFT",177B,PISTÃO,1,1134,4,1973,BRASIL,TPP,PARTICULAR,****,****,CRUZEIRO,PRIVADA,LEVE,NULL,2016-07-30
1171,43472,PTIUQ,5033,AVIÃO,"CESSNA AIRCRAFT",402B,PISTÃO,2,2858,10,1973,BRASIL,TPX,"TÁXI AÉREO",****,****,"CORRIDA APÓS POUSO","TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
1182,30535,PTJCY,935,AVIÃO,"CESSNA AIRCRAFT",310Q,PISTÃO,2,2404,6,1973,BRASIL,TPX,"TÁXI AÉREO",SNAL,SBSV,POUSO,"TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
1184,50998,PTLJB,383,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2,2073,7,1979,BRASIL,TPX,"TÁXI AÉREO",SSCL,SIFH,"CORRIDA APÓS POUSO","TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
1188,36373,PTONN,3992,AVIÃO,"MAULE AIRCRAFT",M-7-235,PISTÃO,1,1134,5,1991,BRASIL,TPP,PARTICULAR,****,****,DECOLAGEM,PRIVADA,LEVE,NULL,2016-07-30
1188,34539,PTONN,3992,AVIÃO,"MAULE AIRCRAFT",M-7-235,PISTÃO,1,1134,5,1991,BRASIL,TPP,PARTICULAR,****,****,SUBIDA,PRIVADA,DESTRUÍDA,1,2016-07-30
1212,36874,PTEOO,3992,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-721C,PISTÃO,1,1633,7,1977,BRASIL,TPP,PARTICULAR,****,****,POUSO,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1214,44705,PPGXB,160,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",56-C,PISTÃO,1,660,2,1962,BRASIL,PRI,INSTRUÇÃO,SBBP,SBBP,"CORRIDA APÓS POUSO",INSTRUÇÃO,LEVE,NULL,2016-07-30
1237,49798,PTVLO,617,AVIÃO,EMBRAER,EMB-810D,PISTÃO,2,2155,6,1990,BRASIL,TPX,"TÁXI AÉREO",SBBW,SBCG,"CORRIDA APÓS POUSO","TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
1278,27261,PTHNI,3175,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,1,1950,6,1990,BRASIL,TPX,"TÁXI AÉREO",****,****,"ARREMETIDA NO AR","TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
1281,34502,PPGFC,2361,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1992,BRASIL,PRI,INSTRUÇÃO,****,****,"CORRIDA APÓS POUSO",INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1281,45753,PPGFC,3992,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1992,BRASIL,TPP,PARTICULAR,****,****,POUSO,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1297,48055,PPGMR,218,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,SBLO,****,POUSO,INSTRUÇÃO,LEVE,NULL,2016-07-30
1297,44968,PPGMR,218,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,NENHUM,NULL,2016-07-30
1297,51025,PPGMR,218,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,SBLO,SBLO,"CORRIDA APÓS POUSO",INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1297,45232,PPGMR,218,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,****,****,"ARREMETIDA NO SOLO",INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1311,40370,PPGME,310,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1992,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,LEVE,NULL,2016-07-30
1325,32642,PTDRI,3992,AVIÃO,"BEECH AIRCRAFT",95-B55,PISTÃO,2,2268,6,1971,BRASIL,TPP,PARTICULAR,SBRF,SBMO,DECOLAGEM,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1334,47296,PTGFF,3992,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-201,PISTÃO,1,1800,1,1974,BRASIL,TPP,PARTICULAR,****,****,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,1,2016-07-30
1335,38359,PPFJC,4151,HELICÓPTERO,HELIBRAS,"AS 350 BA",TURBOEIXO,1,2100,6,1988,BRASIL,ADD,"ADMINISTRAÇÃO DIRETA",****,****,DECOLAGEM,POLICIAL,SUBSTANCIAL,NULL,2016-07-30
1336,45280,PTIOT,3984,AVIÃO,"CESSNA AIRCRAFT",210L,PISTÃO,1,1724,6,1973,BRASIL,TPX,"TÁXI AÉREO",****,****,CRUZEIRO,"TÁXI AÉREO",DESTRUÍDA,1,2016-07-30
1341,53373,PPEJH,2349,HELICÓPTERO,"BELL HELICOPTER",206B,TURBOEIXO,1,1451,5,1992,BRASIL,ADE,"ADMINISTRAÇÃO DIRETA",SBLO,SSOK,"CORRIDA APÓS POUSO",POLICIAL,SUBSTANCIAL,NULL,2016-07-30
1360,41789,PTBXQ,3992,AVIÃO,"CESSNA AIRCRAFT",182F,PISTÃO,1,1270,4,1963,BRASIL,TPP,PARTICULAR,SBSL,SNOZ,SUBIDA,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1387,38495,PPGIO,212,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1992,BRASIL,PRI,INSTRUÇÃO,****,****,"ARREMETIDA NO SOLO",INSTRUÇÃO,NENHUM,NULL,2016-07-30
1387,38659,PPGIO,3992,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1992,BRASIL,TPP,PARTICULAR,SBJF,SBJF,DECOLAGEM,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1393,40171,PPGBW,252,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1991,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1400,47339,PTHUW,3259,HELICÓPTERO,"BELL HELICOPTER",412,TURBOEIXO,2,5398,15,1988,BRASIL,TPX,"TÁXI AÉREO",****,****,"APROXIMAÇÃO FINAL","TÁXI AÉREO",DESTRUÍDA,NULL,2016-07-30
1453,36075,PPFLT,267,AVIÃO,"AERO BOERO",AB-180,PISTÃO,1,844,3,1990,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,LEVE,NULL,2016-07-30
1490,45268,PPGLA,160,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1992,BRASIL,PRI,INSTRUÇÃO,SSPG,SDIM,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1503,50714,PTESI,3848,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2,2075,6,1978,BRASIL,TPX,"TÁXI AÉREO",SBFZ,SNWC,POUSO,"TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
1504,53149,PTJEE,3992,AVIÃO,"CESSNA AIRCRAFT",210L,PISTÃO,1,1724,6,1973,BRASIL,TPP,PARTICULAR,SWII,SBTT,"CIRCUITO DE TRÁFEGO",PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1518,44316,PTHNA,3175,HELICÓPTERO,HELIBRAS,"AS 355 F2",TURBOEIXO,2,2540,6,1988,BRASIL,TPX,"TÁXI AÉREO",SWUQ,SBBV,DESCIDA,"TÁXI AÉREO",DESTRUÍDA,3,2016-07-30
1570,44609,PTRPF,3992,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-711T,PISTÃO,1,1247,4,1982,BRASIL,TPP,PARTICULAR,****,****,POUSO,PRIVADA,NENHUM,NULL,2016-07-30
1571,52945,PTBQD,3992,AVIÃO,"BEECH AIRCRAFT",N35,PISTÃO,1,1550,6,1961,BRASIL,TPP,PARTICULAR,SJDX,SSIE,CRUZEIRO,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1586,26960,PTHQY,3963,HELICÓPTERO,"BELL HELICOPTER",206B,TURBOEIXO,1,1451,5,1983,BRASIL,TPX,"TÁXI AÉREO",****,****,CRUZEIRO,"TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
1588,29495,PTKUQ,3992,AVIÃO,"BEECH AIRCRAFT",35,PISTÃO,1,1157,4,1947,BRASIL,TPP,PARTICULAR,SBQV,SNPA,DECOLAGEM,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1595,44078,PTVMG,3992,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-720D,PISTÃO,1,1633,7,1990,BRASIL,TPP,PARTICULAR,****,****,SUBIDA,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
1629,41569,PTGRE,120,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-201A,PISTÃO,1,1800,1,0,BRASIL,SAE-AG,AGRÍCOLA,****,****,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,NULL,2016-07-30
1633,31869,PTLEB,5179,AVIÃO,LEARJET,35A,JATO,2,8301,10,1982,BRASIL,TPX,"TÁXI AÉREO",SBRB,SBCZ,POUSO,"TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
1650,31276,PPGPC,212,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1993,BRASIL,PRI,INSTRUÇÃO,SBJF,****,MANOBRA,INSTRUÇÃO,DESTRUÍDA,2,2016-07-30
1661,46873,PPGHE,239,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,****,****,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1703,39316,PPGMH,158,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1992,BRASIL,PRI,INSTRUÇÃO,SSBL,SSRS,POUSO,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1761,50916,PTEBM,3924,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2,2073,7,1976,BRASIL,TPX,"TÁXI AÉREO",SDNQ,SWLB,TÁXI,"TÁXI AÉREO",LEVE,NULL,2016-07-30
1770,43459,PPGOZ,283,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1993,BRASIL,PRI,INSTRUÇÃO,SBMT,****,DECOLAGEM,INSTRUÇÃO,LEVE,NULL,2016-07-30
1770,41411,PPGOZ,283,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1993,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,LEVE,NULL,2016-07-30
1823,46439,PPGEH,317,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1991,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1823,35943,PPGEH,317,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1991,BRASIL,PRI,INSTRUÇÃO,****,****,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1846,45866,PPGRZ,294,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1993,BRASIL,PRI,INSTRUÇÃO,****,****,"ARREMETIDA NO AR",INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1876,45272,PPFLK,182,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,2,1990,BRASIL,PRI,INSTRUÇÃO,SSER,SSER,"CORRIDA APÓS POUSO",INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1878,46755,PPGMB,259,AVIÃO,"AERO BOERO",AB-115,PISTÃO,1,770,3,1992,BRASIL,PRI,INSTRUÇÃO,****,****,POUSO,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
1896,39727,PTSOG,2240,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2,5670,20,1991,BRASIL,TPX,"TÁXI AÉREO",****,****,POUSO,"TÁXI AÉREO",LEVE,NULL,2016-07-30
